WiPE OUT MEMORIES(DX),210,わいぷあうとめもりーず,t+pazolite,6.0,8.0,12.9,14.8
チューリングの跡(DX),180,ちゅーりんぐのあと,Frums,4.0,8.0,13.5,14.8
sølips(DX),199,そりぷす,rintaro soma,6.0,8.5,13.7,14.9
GIGANTØMAKHIA(DX),190,ぎがんとまきあ,BlackYooh vs. siromaru,6.0,8.0,13.0,14.7
躯樹の墓守(DX),211,むくろじゅのはかもり,隣の庭は青い(庭師+Aoi),6.0,9.8,13.0,14.9
Yorugao(DX),182,よるがお,An & Ryunosuke Kudo,5.0,8.0,12.2,14.6
BLACK SWAN(DX),201,ぶらっくすわん,ぺのれり,6.0,8.0,12.7,14.6
Lia=Fail(DX),186,りあふぁる/りあふぇいる,Team Grimoire,5.0,9.0,12.8,14.7
AMABIE(DX),190,あまびえ,OSTER project,5.0,8.8,12.4,14.6
Heavenly Blast(DX),234,へぶんりーぶらすと,xi,5.0,9.0,12.8,14.8
BREaK! BREaK! BREaK!(DX),165,ぶれいくぶれいくぶれいく,HiTECH NINJA vs Cranky,5.0,8.5,12.8,14.6
Regulus(DX),212,れぐるす,お月さま交響曲,5.0,8.0,12.5,14.7
封焔の135秒(DX),200,ほうえんのひゃくさんじゅうごびょう,大国奏音,5.0,8.0,12.7,14.8
Valsqotch(DX),125,ゔぁるすこっち/ばるすこっち,owl＊tree feat.chi＊tree,6.0,8.9,13.0,14.7
TEmPTaTiON(DX),160,てんぷてーしょん,かねこちはる,6.0,8.0,12.6,14.7
SILENT BLUE(STD),210,さいれんとぶるー,かねこちはる,6.0,8.0,12.8,14.8
larva(STD),202,らーば/らるば,ガリガリさむし,7.0,9.0,12.9,14.8
Excalibur ～Revived resolution～(STD),200,えくすかりばーりばいぶどりぞりゅーしょん,Project Grimoire,5.0,10.0,13.0,14.8
Our Wrenally(STD),105,あわれなり,t+pazolite,6.0,9.8,13.0,14.8
